route,component,answer_text,next_or_outcome
/public-register,Radio,No,/part-of-larger-project
/part-of-larger-project,Radio,Yes,/eia-directive
/part-of-larger-project,Radio,No,/single-location
/eia-directive,Radio,Yes,/activities/ground
/eia-directive,Radio,No,/single-location
/activities/ground,Radio,Yes,/single-location
/activities/ground,Radio,No,/screening-screened-out
/screening-screened-out,Radio,Yes,/single-location
/screening-screened-out,Radio,No,/not-screened-out
/single-location,Radio,Yes,/military-defence-area
/single-location,Radio,No,/multiple-locations
/multiple-locations,Radio,Yes,/military-defence-area
/multiple-locations,Radio,No,/standard-marine-licence-application/ten-square-miles
/military-defence-area,Radio,Yes,/ministry-of-defence
/military-defence-area,Radio,No,/admiralty-chart
/ministry-of-defence,Radio,Yes,/admiralty-chart
/ministry-of-defence,Radio,No,/ministry-of-defence/permission
/ministry-of-defence/permission,Radio,Yes,/admiralty-chart
/ministry-of-defence/permission,Radio,No,/mod-permission
/admiralty-chart,Radio,Yes,/admiralty-chart/continued-use
/admiralty-chart,Radio,No,/routing-measure
/admiralty-chart/continued-use,Radio,Yes,/routing-measure
/admiralty-chart/continued-use,Radio,No,/intrusive-nature
/intrusive-nature,Radio,Yes,/standard-marine-licence-application/intrusive-in-nature
/intrusive-nature,Radio,No,/routing-measure
/routing-measure,Radio,Yes,/routing-measure/management
/routing-measure,Radio,No,/protected-place
/routing-measure/management,Radio,Yes,/protected-place
/routing-measure/management,Radio,No,/standard-marine-licence-application/routing-measure
/protected-place,Radio,Yes,/standard-marine-licence-application/protected-place
/protected-place,Radio,No,/heritage-designation
/heritage-designation,Radio,Yes,/historic-england
/heritage-designation,Radio,No,/archaeological-heritage-historic-assets
/archaeological-heritage-historic-assets,Radio,Yes,/historic-england
/archaeological-heritage-historic-assets,Radio,No,/marine-protected-area
/historic-england,Radio,Yes,/marine-protected-area
/historic-england,Radio,No,/historic-england/not-agreed
/marine-protected-area,Radio,Yes,/HPMA-Check
/marine-protected-area,Radio,No,/vehicular-access
/HPMA-Check,Radio,Yes,/natural-england
/HPMA-Check,Radio,No,/fast-track-activity-limits
/fast-track-activity-limits,Radio,Yes,/vehicular-access
/fast-track-activity-limits,Radio,No,/natural-england
/vehicular-access,Radio,Yes,/natural-england
/vehicular-access,Radio,No,/fast-track-mla/activity
/natural-england,Radio,Yes,/fast-track-mla/activity
/natural-england,Radio,No,/natural-england/not-agreed
/exemption/construction,Radio,Maintenance of existing structures and assets,/exemption/construction/maintenance
/exemption/construction,Radio,Construction of something new,/exemption/construction/new
/exemption/construction/maintenance,Radio,Moorings or aids to navigation,/exemption/construction/maintenance/moorings
/exemption/construction/maintenance,Radio,Pontoons,/exemption/construction/maintenance/pontoons
/exemption/construction/maintenance,Radio,"Coastal protection, drainage or flood defence",/exemption/construction/maintenance/coastal-drainage-flood
/exemption/construction/maintenance,Radio,Harbour works,/exemption/construction/maintenance/harbour-works
/exemption/construction/maintenance,Radio,Cables,/exemption/construction/maintenance/cables
/exemption/construction/maintenance,Radio,Pipelines,/exemption/construction/maintenance/pipelines
/exemption/construction/maintenance,Radio,Carbon Dioxide Storage,/exemption/construction/maintenance/carbon-storage
/exemption/construction/maintenance,Radio,Bored tunnels,/exemption/construction/maintenance/bored-tunnel
/exemption/construction/maintenance,Radio,Other,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/moorings,Radio,To provide a pile mooring,/exemption/construction/maintenance/moorings/undertaker
/exemption/construction/maintenance/moorings,Radio,To provide a swinging mooring,/exemption/construction/maintenance/moorings/undertaker
/exemption/construction/maintenance/moorings,Radio,To provide a trot mooring,/exemption/construction/maintenance/moorings/undertaker
/exemption/construction/maintenance/moorings,Radio,To provide a aid to navigation,/exemption/construction/maintenance/moorings/undertaker
/exemption/construction/maintenance/moorings,Radio,Something else,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/moorings/undertaker,Radio,A harbour authority or someone on behalf of a harbour authority,/exemption/licence-not-required-exemption-available-article-25
/exemption/construction/maintenance/moorings/undertaker,Radio,A lighthouse authority or someone on behalf of a lighthouse authority,/exemption/licence-not-required-exemption-available-article-25
/exemption/construction/maintenance/moorings/undertaker,Radio,Someone else,/exemption/construction/maintenance/moorings/undertaker/consent
/exemption/construction/maintenance/moorings/undertaker/consent,Radio,Yes,/exemption/construction/maintenance/moorings/undertaker/approval
/exemption/construction/maintenance/moorings/undertaker/consent,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/moorings/undertaker/approval,Radio,Yes,/exemption/licence-not-required-exemption-available-article-25-notification
/exemption/construction/maintenance/moorings/undertaker/approval,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/pontoons,Radio,Yes,/exemption/construction/maintenance/pontoons/undertaker
/exemption/construction/maintenance/pontoons,Radio,No,/exemption/construction-exe-not-available-continue
